"OTU","Abundance","Sample","Group"
"p__Desulfobacterota",0.00115295926210607,"SRR10802233","Health"
"Unknown",0.001078360891445,"SRR10802236","GERD"
"p__Synergistota",0.00104098893949252,"SRR10802230","GERD"
"p__Desulfobacterota",0.000958543014617781,"SRR10802236","GERD"
"p__Synergistota",0.000849136711010473,"SRR10802242","Health"
"Unknown",0.000845503458877786,"SRR10802233","Health"
"p__Synergistota",0.000794701986754967,"SRR10802228","GERD"
"p__Spirochaetota",0.000777907429015947,"SRR10802225","Health"
"Unknown",0.000745632722624627,"SRR10802226","Health"
"p__Synergistota",0.00063911376224968,"SRR10802226","Health"
"Unknown",0.000602772754671489,"SRR10802245","Health"
"Unknown",0.000577367205542725,"SRR10802221","Health"
"p__Spirochaetota",0.000502954859801333,"SRR10802241","GERD"
"Unknown",0.000414021529119514,"SRR10802243","Health"
"Unknown",0.000385208012326656,"SRR10802235","GERD"
"Unknown",0.000272900936959884,"SRR10802227","GERD"
"p__Campilobacterota",0,"SRR10802232","GERD"
"p__Cyanobacteria",0,"SRR10802237","GERD"
"p__Cyanobacteria",0,"SRR10802228","GERD"
"p__Cyanobacteria",0,"SRR10802220","Health"
"p__Cyanobacteria",0,"SRR10802229","GERD"
"p__Cyanobacteria",0,"SRR10802239","GERD"
"p__Cyanobacteria",0,"SRR10802238","GERD"
"p__Cyanobacteria",0,"SRR10802224","Health"
"p__Cyanobacteria",0,"SRR10802230","GERD"
"p__Cyanobacteria",0,"SRR10802240","GERD"
"p__Cyanobacteria",0,"SRR10802225","Health"
"p__Cyanobacteria",0,"SRR10802221","Health"
"p__Cyanobacteria",0,"SRR10802231","GERD"
"p__Cyanobacteria",0,"SRR10802226","Health"
"p__Cyanobacteria",0,"SRR10802223","Health"
"p__Cyanobacteria",0,"SRR10802235","GERD"
"p__Cyanobacteria",0,"SRR10802241","GERD"
"p__Cyanobacteria",0,"SRR10802245","Health"
"p__Cyanobacteria",0,"SRR10802222","Health"
"p__Cyanobacteria",0,"SRR10802232","GERD"
"p__Cyanobacteria",0,"SRR10802234","GERD"
"p__Cyanobacteria",0,"SRR10802244","Health"
"p__Cyanobacteria",0,"SRR10802233","Health"
"p__Cyanobacteria",0,"SRR10802242","Health"
"p__Cyanobacteria",0,"SRR10802243","Health"
"p__Desulfobacterota",0,"SRR10802220","Health"
"p__Desulfobacterota",0,"SRR10802221","Health"
"p__Desulfobacterota",0,"SRR10802230","GERD"
"p__Desulfobacterota",0,"SRR10802229","GERD"
"p__Desulfobacterota",0,"SRR10802239","GERD"
"p__Desulfobacterota",0,"SRR10802231","GERD"
"p__Desulfobacterota",0,"SRR10802241","GERD"
"p__Desulfobacterota",0,"SRR10802240","GERD"
"p__Desulfobacterota",0,"SRR10802222","Health"
"p__Desulfobacterota",0,"SRR10802232","GERD"
"p__Desulfobacterota",0,"SRR10802242","Health"
"p__Desulfobacterota",0,"SRR10802227","GERD"
"p__Desulfobacterota",0,"SRR10802223","Health"
"p__Desulfobacterota",0,"SRR10802228","GERD"
"p__Desulfobacterota",0,"SRR10802225","Health"
"p__Desulfobacterota",0,"SRR10802238","GERD"
"p__Desulfobacterota",0,"SRR10802237","GERD"
"p__Desulfobacterota",0,"SRR10802243","Health"
"p__Desulfobacterota",0,"SRR10802224","Health"
"p__Desulfobacterota",0,"SRR10802234","GERD"
"p__Desulfobacterota",0,"SRR10802226","Health"
"p__Desulfobacterota",0,"SRR10802235","GERD"
"p__Desulfobacterota",0,"SRR10802245","Health"
"p__Spirochaetota",0,"SRR10802222","Health"
"p__Spirochaetota",0,"SRR10802232","GERD"
"p__Spirochaetota",0,"SRR10802243","Health"
"p__Spirochaetota",0,"SRR10802224","Health"
"p__Spirochaetota",0,"SRR10802234","GERD"
"p__Spirochaetota",0,"SRR10802237","GERD"
"p__Spirochaetota",0,"SRR10802235","GERD"
"p__Spirochaetota",0,"SRR10802245","Health"
"p__Spirochaetota",0,"SRR10802238","GERD"
"p__Synergistota",0,"SRR10802222","Health"
"p__Synergistota",0,"SRR10802243","Health"
"p__Synergistota",0,"SRR10802232","GERD"
"p__Synergistota",0,"SRR10802220","Health"
"p__Synergistota",0,"SRR10802233","Health"
"p__Synergistota",0,"SRR10802225","Health"
"p__Synergistota",0,"SRR10802224","Health"
"p__Synergistota",0,"SRR10802244","Health"
"p__Synergistota",0,"SRR10802234","GERD"
"p__Synergistota",0,"SRR10802241","GERD"
"p__Synergistota",0,"SRR10802237","GERD"
"p__Synergistota",0,"SRR10802239","GERD"
"p__Synergistota",0,"SRR10802227","GERD"
"p__Synergistota",0,"SRR10802238","GERD"
"p__Synergistota",0,"SRR10802235","GERD"
