"OTU","Abundance","Sample","Group"
"Unknown",0,"SRR10802232","GERD"
"Unknown",0,"SRR10802238","GERD"
"Unknown",0,"SRR10802222","Health"
"Unknown",0,"SRR10802230","GERD"
"Unknown",0,"SRR10802244","Health"
"Unknown",0,"SRR10802239","GERD"
"Unknown",0,"SRR10802240","GERD"
"Unknown",0,"SRR10802225","Health"
"Unknown",0,"SRR10802242","Health"
"Unknown",0,"SRR10802223","Health"
"Unknown",0,"SRR10802228","GERD"
"Unknown",0,"SRR10802229","GERD"
"Unknown",0,"SRR10802224","Health"
